nombre;descripcion;unidad_medida
Tijera para drywall;mat;und
Ducto flexible luminizado 4inx1.5 m;mat;und
Guantes de carnaza;mat;und
Canaleta PVC 20X10;mat;und
Cinta antiresbalante 5mm x 5metros;mat;rollo
Bombillo para lamparas matamoscas;mat;und
Sierra para drywall;mat;und
Exacto retractil metalico;mat;und
Tornillos para drywall 1 1/2in;mat;und
Azul profundo FORUM satinado;mat;galón
Azul profundo FORUM esmalte;mat;galón
Amarillo satinado;mat;galón
Blanco satinado;mat;galón
Negro esmalte;mat;galón
Gris oscuro esmalte;mat;galón
Pintura preparada para los anaqueles;mat;galón
Cinta para sierra Nº 97;mat;und
Cinta para sierra Nº 98;mat;und
Cinta para sierra Nº 124;mat;und
Cinta para sierra Nº 142;mat;und
Teflon 1/4in;mat;und
Tapa ciega 4in de bronce;mat;und
Tirro papel 1/4in;mat;und
Disco de corte 4 x 1/2in;mat;und
Funda de rodillo 9in pelo corto;mat;und
Spray cromado ;mat;und
Juego de cartucho de recambio para filtro triple 10-17-CBK;mat;und
Pintura blanco trafico;mat;galón
Malla para impermeabilizar;mat;rollo
Brocha 1in;mat;und
Brocha 2in;mat;und
Cementro;mat;saco
Polvillo ligado;mat;saco
